,countries,Funding,counts
54,Argentina,"Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq",1
55,Argentina,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES",1
56,Argentina,Coulter,1
57,Argentina,"Department of Electronic and Computer Engineering, The Hong Kong University of Science and Technology",1
58,Argentina,Diagnostic Ophthalmology Centre,1
59,Argentina,Eli Lilly and Company,1
60,Argentina,F. Hoffmann-La Roche,1
61,Argentina,FAPERJ-grant,1
62,Argentina,Fondazione Pisa,1
63,Argentina,"Fondo para la Investigación Científica y Tecnológica, FonCyT",3
64,Argentina,Fonds zur Förderung der wissenschaftlichen Forschung – Austrian Science Fund,1
65,Argentina,"Foundation Fighting Blindness, FFB",1
66,Argentina,Fundacion Conde Valenciana,1
67,Argentina,Fundacion Oftalmologica Los Andes,1
68,Argentina,Fundacite-Zulia,1
69,Argentina,"Fundación Florencio Fiorini, FFF",1
70,Argentina,"Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro, FAPERJ",1
71,Argentina,Giridhar Eye Institute,1
72,Argentina,Hong Kong Eye Hospital,1
73,Argentina,"Hong Kong Special Administrative Region, China",1
74,Argentina,Hospital de Olhos de Araraquara,1
75,Argentina,IOMA,1
76,Argentina,ISN-CAEN,1
77,Argentina,Innovation and Technology Commission - Hong Kong,1
78,Argentina,Instituto da Visão,1
79,Argentina,"International Dragonfly Fund, IDF",1
80,Argentina,"Jaeb Center for Health Research, JCHR",1
81,Argentina,"Johns Hopkins University, JHU",1
82,Argentina,"Juvenile Diabetes Research Foundation International, JDRF",1
83,Argentina,KalVista,1
84,Argentina,Karina D Hamilton-Peel of Envision Pharma Group,1
85,Argentina,"Lowy Medical Research Institute, LMRI",1
86,Argentina,"Medical Research Council, MRC",1
87,Argentina,"Merck Sharp and Dohme, MSD",1
88,Argentina,"Meso Scale Diagnostics, MSD",1
89,Argentina,Moorfields Eye Hospital NHS Foundation Trust,1
90,Argentina,NAPP,1
91,Argentina,"NIH National Eye Institute, Neurotech, Opthea",1
92,Argentina,"NIHR Leicester Biomedical Research Centre, Leicester BRC",1
93,Argentina,"National Eye Institute, NEI",2
94,Argentina,"National Institute for Health and Care Research, NIHR",1
95,Argentina,"National Institutes of Health, NIH",2
96,Argentina,Novartis,2
97,Argentina,Novo Nordisk,3
98,Argentina,Nvidia,1
99,Argentina,"Pan American Health Organization, PAHO",1
100,Argentina,Pfizer,2
101,Argentina,Princess Margaret Hospital,1
102,Argentina,Procter and Gamble Health,1
103,Argentina,Prudential,1
104,Argentina,"Pró-Reitoria de Pesquisa e Pós-Graduação, Universidade Federal do Pará, PROPESP/UFPA",1
105,Argentina,"Puerto Rico Sea Grant, University of Puerto Rico, UPRSGCP",1
106,Argentina,Regione Toscana,1
107,Argentina,Research Grants Council General Research Fund,1
108,Argentina,"Research to Prevent Blindness, RPB",2
109,Argentina,Roche,2
110,Argentina,"Sackler Faculty of Medicine, Tel-Aviv University",1
111,Argentina,Sankara Nethralaya,1
112,Argentina,Sanofi,2
113,Argentina,Sanofi Hong Kong,1
114,Argentina,Scientific Research Society,2
115,Argentina,"Secretaria de Ciencia y Tecnica, Universidad de Buenos Aires, SECYT",2
116,Argentina,"Secretaria de Ciencia y Tecnología - Universidad Nacional de Córdoba, SECyT, UNC",3
117,Argentina,Servier,2
118,Argentina,Shri Bhagwan Mahavir Vitreoretinal Services,1
119,Argentina,Sigma Xia,2
120,Argentina,Tel Aviv Medical Centre,1
121,Argentina,"Tel Aviv, Israel",1
122,Argentina,"U.S. Election Assistance Commission, U.S. EAC",1
123,Argentina,"Universidad Nacional de La Plata, UNLP",1
124,Argentina,"Universidad Nacional del Sur, UNS",1
125,Argentina,"Universidad de Buenos Aires, UBA",5
126,Argentina,Universidad de Valencia,1
127,Argentina,"Universidad del Rosario, UR",1
128,Argentina,"Universidad del Zulia, LUZ",1
129,Argentina,"Universidade de São Paulo, USP",1
130,Argentina,University of Louisville Summer Research Scholar Program,1
131,Argentina,"University of Louisville, UL",1
132,Argentina,"Università di Pisa, UniPi",1
133,Argentina,Wilmer Eye Institute,1
134,Argentina,"World Health Organization, WHO",1
135,Argentina,first World Consensus Conference,1
136,Argentina,"Österreichische Nationalstiftung für Forschung, Technologie und Entwicklung",1
137,Australia,28Singapore Eye Research Institute,1
138,Australia,A,1
139,Australia,A-STAR,1
140,Australia,A. Alfred Taubman Medical Research Institute,1
141,Australia,A.P. Møller og Hustru Chastine Mc-Kinney Møllers Fond til almene Formaal,1
142,Australia,ACBRD,1
143,Australia,"ADEA Diabetes Research Foundation, ADRF",1
144,Australia,AHSC,1
145,Australia,AHSC Planning & Performance Executive,1
146,Australia,"AKL Research and Development, AKLRD",1
147,Australia,AMM,1
148,Australia,ARRA,1
149,Australia,Aarne Koskelon Säätiö,1
150,Australia,AbbVie,8
151,Australia,Abbott Diabetes Care,1
152,Australia,Abbott Diagnostics,1
153,Australia,Abbott Europe,1
154,Australia,Abbott Laboratories,4
155,Australia,"Abbott Laboratories, Abbott",1
156,Australia,Abbott and Mylan,2
157,Australia,Aboriginal Medical Services Alliance,2
158,Australia,Academia Sinica,1
159,Australia,Academy of Finland,3
160,Australia,"Academy of Finland, AKA",18
161,Australia,Action Medical Research,1
162,Australia,Adelaide Eye & Retina Centre,1
163,Australia,"Adelaide Eye & Retina Centre, South Australia",1
164,Australia,Adverum Biotechnologies,1
165,Australia,Aegerion Pharmaceuticals,1
166,Australia,"African Academy of Science, European and Developing Countries Clinical Trials Partnership",1
167,Australia,"Agency for Science, Technology and Research",1
168,Australia,"Agency for Science, Technology and Research, Singapore",1
169,Australia,"Agentúra na Podporu Výskumu a Vývoja, APVV",1
170,Australia,Alan and Nesta Fund,1
171,Australia,Alcon,2
172,Australia,Alcon Hellas,1
173,Australia,Alcon Laboratories,1
174,Australia,Alcon Laboratories Inc.,1
175,Australia,Alcon Research Institute Scientific Select Committee,1
176,Australia,"Alcon Research Institute, ARI",5
177,Australia,"Alcon, Allergan",1
178,Australia,Alexander von Humboldt-Stiftung,1
179,Australia,"Alexander von Humboldt-Stiftung, AvH",1
180,Australia,Alfred Felton Bequest,1
181,Australia,Alfred Health,1
182,Australia,"All India Ophthalmological Society, AIOS",1
183,Australia,"Allegro, Allergan",1
184,Australia,Allergan,9
185,Australia,Allergan Hellas,1
186,Australia,Allergan Pharmaceuticals and Alimera Sciences,1
187,Australia,Alma Hazel Eddy Trust,1
188,Australia,Alnylam,3
189,Australia,"American Diabetes Association, ADA",5
190,Australia,American Heart Association Southeast Consortium,1
191,Australia,"American Heart Association, AHA",2
192,Australia,"American Macular Degeneration Foundation, AMDF",1
193,Australia,American Ophthalmology Society,1
194,Australia,"American Physiological Society, APS",1
195,Australia,Amgen,4
196,Australia,Ane Gyllenberg Foundation,1
197,Australia,Angior Family Foundation,1
198,Australia,Anglia Ruskin University,2
199,Australia,Anhui Provincial Key Research and Development Plan,1
200,Australia,Animal Resources Centre,1
201,Australia,Annemarie Mankiewicz-Zelkin Fellowship,1
202,Australia,Apollo Therapeutics Fund,1
203,Australia,ApotheCom,1
204,Australia,Applied Therapeutics,1
205,Australia,Armadale Eye Clinic,1
206,Australia,Arthritis Foundation,1
207,Australia,Asia Diabetes Foundation,1
208,Australia,Asia-Pacific Myopia Society,1
209,Australia,Asia-Pacific Ocular Imaging Society,1
210,Australia,Asia-Pacific Vitreo-retina Society,1
211,Australia,"Association Diabète Risque Vasculaire, ADRV",1
212,Australia,"Astellas Pharma US, APUS",2
213,Australia,AstraZeneca,8
214,Australia,"Atlantic Veterinary College, AVC",1
215,Australia,Austin Repatriation Hospital,1
216,Australia,Australasian Paediatric Endocrine Care,1
217,Australia,Australasian Paediatric Endocrine Care Grants,1
218,Australia,Australasian Paediatric Endocrine Group Novo-Nordisk,1
219,Australia,Australasian Paediatric Endocrine Group NovoNordisk,1
220,Australia,Australasian Paediatric Endocrine Group NovoNordisk Research,1
221,Australia,Australia-Indonesia Institute in the Australian Government’s Department of Foreign Affairs and Trade,1
222,Australia,"Australian Cancer Research Foundation, ACRF",1
223,Australia,Australian Centre for Behavioral Research in Diabetes by Diabetes Victoria,1
224,Australia,Australian Centre for Behavioural Research in Diabetes,2
225,Australia,Australian Centre of Excellence in Melanoma Imaging and Diagnosis,1
226,Australia,Australian Diabetes Research Trust,1
227,Australia,"Australian Diabetes Society, ADS",2
228,Australia,"Australian Education International, Australian Government",1
229,Australia,Australian Eye Specialists,1
230,Australia,"Australian Eye Specialists , Victoria",1
231,Australia,Australian Federal Government Innovation Connections,1
232,Australia,Australian Foundation for the Prevention of Blindness,2
233,Australia,Australian Government,1
234,Australia,Australian Government Research Training Program Scholarships,1
235,Australia,Australian Indigenous Eye Health Project,1
236,Australia,Australian Kidney Foundation,1
237,Australia,Australian National Health and Medical Research Council,7
238,Australia,"Australian National University, ANU",1
239,Australia,Australian Ocular Biobank,1
240,Australia,Australian Red Cross Blood Service,2
241,Australia,Australian Research Council,1
242,Australia,"Australian Research Council, ARC",7
243,Australia,Australian Research Training Program,1
244,Australia,Australian University Librarians,2
245,Australia,Australian Vision Research,1
246,Australia,Australia–India Strategic Research Fund,1
247,Australia,Avalanche Biotechnologies Inc,1
248,Australia,"Avalanche Biotechnologies, Inc",1
249,Australia,Azienda Ospedaliero Universitaria Pisana,1
250,Australia,BaGA,1
251,Australia,"Bacchus Marsh), Victoria",1
252,Australia,Bausch & Lomb,1
253,Australia,Baxter Charitable Foundation,2
254,Australia,Bayer,10
255,Australia,Bayer Consumer Care,1
256,Australia,"Bayer Consumer Care AG, Basel, Switzerland",1
257,Australia,"Bayer Fund, BF",5
258,Australia,"Bayer HealthCare, BHC",3
259,Australia,Bayer Hellas,1
260,Australia,Becton Dickinson,1
261,Australia,Beijing Municipal Commission of Education,1
262,Australia,Beijing Science and Technology New Star Project,1
263,Australia,Bendigo District Aboriginal Health Service,1
264,Australia,"Berwick Eye Center, Victoria",1
265,Australia,Better Therapeutics,1
266,Australia,"Bill and Melinda Gates Foundation, BMGF",1
267,Australia,Biogen,1
268,Australia,"Biomedical Research Council, BMRC",5
269,Australia,"Biomedical Research Council, Singapore",1
270,Australia,Biomedicum Helsinki-säätiö,4
271,Australia,Bionic Vision Technologies Pty Ltd,1
272,Australia,Bionics Institute,1
273,Australia,Bioplatforms Australia,1
274,Australia,"Biotechnology and Biological Sciences Research Council, BBSRC",1
275,Australia,Boehringer Ingelheim,7
276,Australia,"Boehringer Ingelheim, BI",8
277,Australia,Bosch Institute Molecular Biology Facility,1
278,Australia,Brian King Fellowship,1
279,Australia,Brien Holden Vision Institute,1
280,Australia,BrightFocus Foundation,1
281,Australia,"BrightFocus Foundation, BFF",2
282,Australia,"Bristol-Myers Squibb, BMS",1
283,Australia,"British Council for Prevention of Blindness, BCPB",3
284,Australia,British Council to Prevent Blindness,1
285,Australia,British Heart Foundation,1
286,Australia,"British Heart Foundation, BHF",4
287,Australia,British Heart Foundation/Diabetes UK/The George Institute,1
288,Australia,British and Eire Association of Vitreoretinal Surgeons,1
289,Australia,Broad Institute of Harvard,1
290,Australia,Buchanan Charitable Foundation,4
291,Australia,Bunbury and Busselton Eye Doctors,2
292,Australia,"Bundesministerium für Bildung und Forschung, BMBF",3
293,Australia,"Bundesministerium für Umwelt, Naturschutz, Bau und Reaktorsicherheit, BMUB",1
294,Australia,Bupa Health Foundation,1
295,Australia,Bureau of National Health Insurance,1
296,Australia,"CARIM School for Cardiovascular Diseases, Universiteit Maastricht, CARIM",1
297,Australia,CCRE,6
298,Australia,CCRE Diabetes,3
299,Australia,CCRE in TCR-Eye,1
300,Australia,CCTN,1
301,Australia,CERA Foundation,6
302,Australia,CERA Foundation in Australia,1
303,Australia,CERA Foundation of Australia,1
304,Australia,CIHR Canada Research Chair,1
305,Australia,"CMC Microsystems, CMC",1
306,Australia,CMER Hospital Group,1
307,Australia,CML,1
308,Australia,CSL Behring,1
309,Australia,"California Educational Research Association, CERA",2
310,Australia,Canada Research Chair in the Genetics of Complex Diseases,1
311,Australia,Canadian Clinical Trial Network,2
312,Australia,"Canadian Diabetes Association, CDA",1
313,Australia,Canadian Institute of Health Research and Kidney Foundation of Canada,1
314,Australia,"Canadian Institutes of Health Research, CIHR",2
315,Australia,Cancer Council NSW,3
316,Australia,Cancer Council Tasmania,1
317,Australia,Cancer Institute NSW,1
318,Australia,CardioDx Inc.,1
319,Australia,"Care and Public Health Research Institute, Universiteit Maastricht, CAPHRI",1
320,Australia,"Carl Zeiss Meditec , Chengdu Kanghong Biotech",1
321,Australia,Carl Zeiss Meditec AG,2
322,Australia,"Carl Zeiss Meditec, Chengdu Kanghong Biotech",1
323,Australia,"Carl Zeiss Meditec, Heidelberg, Nidek Medical Products",1
324,Australia,"Carl Zeiss Meditec, Inc",1
325,Australia,"Case Western Reserve University, CWRU",2
326,Australia,Catalan Government,1
327,Australia,"Center for Hierarchical Manufacturing, National Science Foundation, CHM, NSF",1
328,Australia,"Center for Selective C-H Functionalization, National Science Foundation",1
329,Australia,Center for Specialized Care & Research,1
330,Australia,"Center for Translational Molecular Medicine, CTMM",1
331,Australia,"Centers for Disease Control and Prevention, CDC",3
332,Australia,Central Australia HREC,1
333,Australia,Central Australian Aboriginal Congress,1
334,Australia,"Central Coast Eye Specialist, New South Wales",1
335,Australia,Central Universities in China,1
336,Australia,"Centre Hospitalier Universitaire de Nantes, CHU de Nantes",1
337,Australia,Centre for Clinical Eye Research,1
338,Australia,Centre for Clinical Research Excellence,1
339,Australia,Centre for Clinical Research Excellence in Translational Clinical Research in Eye Diseases,3
340,Australia,Centre for Eye Research Australia,3
341,Australia,"Centre for Eye Research Australia, Victoria",1
342,Australia,Centre for Molecular Epidemiology,1
343,Australia,"Centre for Muslim States and Societies, School of Social and Cultural Studies, University of Western Australia, CMSS",2
344,Australia,Centre for Research Excellent,1
345,Australia,Ceramedix Inc.,1
346,Australia,"Charles Darwin University, CDU",1
347,Australia,Charles H. Hood Foundation,1
348,Australia,Charles Perkins Centre,1
349,Australia,Cheltenham General Hospital,1
350,Australia,Chengdu Kanghong,1
351,Australia,Chest Heart and Stroke Association,1
352,Australia,Chief Scientist Office Scotland and Diabetes UK,1
353,Australia,"Chief Scientist Office, CSO",1
354,Australia,Chiesi Farmaceutici,1
355,Australia,"Children's Hospital of Philadelphia, CHOP",1
356,Australia,China 863,1
357,Australia,China 973,1
358,Australia,"China Medical University Hospital, CMUH",1
359,Australia,China Ophthalmology Society,1
360,Australia,China Postdoctoral Science Foundation,1
361,Australia,"China Scholarship Council, CSC",1
362,Australia,"Chinese Academy of Sciences, CAS",1
363,Australia,Chinese American Association of Ophthalmology,1
364,Australia,Chinese University of Hong Kong Foundation,1
365,Australia,"Chinese University of Hong Kong, CUHK",3
366,Australia,Chinese University of Hong Kong-Shanghai Jiao Tong University Joint Research Fund,1
367,Australia,Chittagong Medical College Hospital,1
368,Australia,Christian Blind Mission,2
369,Australia,Ci?ncia e Tecnologia do Estado de Pernambuco,1
370,Australia,"City, University of London, City",1
371,Australia,Claffy Foundation,2
372,Australia,Collaborations for Leadership in Applied Health Research and Care for Birmingham and Black Country,1
373,Australia,"College of Health and Medicine, University of Tasmania",1
374,Australia,"College of Medicine, University of California, Irvine",2
375,Australia,College-level Project Fund of Shanghai Jiao tong University Affiliated Sixth People's Hospital,1
376,Australia,Colleges and Universities Key Laboratory of Intelligent Integrated Automation,1
377,Australia,Columbia University,1
378,Australia,Concord Hospital,1
379,Australia,Conselho Nacional de Desenvolvimento Cient?fico e Tec-nol?,1
380,Australia,Conselho Nacional de Desenvolvimento Científico e Tec-nológico,1
381,Australia,"Conselho Nacional de Desenvolvimento Científico e Tecnológico, CNPq",2
382,Australia,"Coordenação de Aperfeiçoamento de Pessoal de Nível Superior, CAPES",1
383,Australia,Curtin University of Technology,2
384,Australia,D.A.,1
385,Australia,DR Research-Inception Institute of Artificial Intelligence,1
386,Australia,DRWA-LHerat-2020,2
387,Australia,DUK,1
388,Australia,Daffodil International University,1
389,Australia,Daiichi-Sankyo,2
390,Australia,Danish Clinical Quality Program,1
391,Australia,Danish Eye Health Society,2
392,Australia,Danish National Diabetes Registry,1
393,Australia,Danish Society of Ophthalmology,1
394,Australia,"Danmarks Frie Forskningsfond, DFF",1
395,Australia,Deakin University,4
396,Australia,"Department of Biotechnology, Government of West Bengal, DBT-WB",1
397,Australia,"Department of Community Eye Health, RP,Center, All India Institute of Medical sciences",1
398,Australia,"Department of Computer Science and Engineering, Seoul National University, CSE, SNU",1
399,Australia,"Department of Education, Employment and Workplace Relations, Australian Government, DEEWR",1
400,Australia,Department of Employment and Workplace Relations,1
401,Australia,"Department of Health, Australian Government",2
402,Australia,"Department of Innovation, Industry, Science and Research",1
403,Australia,Department of Medicine,1
404,Australia,Department of Paediatric Endocrinology,1
405,Australia,Department of Public Health of Jiangsu Province,1
406,Australia,"Department of Systems and Computer Networks, Wroclaw University of Science and Technology",1
407,Australia,"Deutsche Forschungsgemeinschaft, DFG",4
408,Australia,Diabetes Australia,6
409,Australia,Diabetes Australia Research Program,2
410,Australia,"Diabetes Australia Research Trust, DART",6
411,Australia,Diabetes Australia Research Trust/Program,1
412,Australia,Diabetes Australia – Victoria,1
413,Australia,Diabetes Complications Assessment Service,1
414,Australia,Diabetes Fonds,1
415,Australia,Diabetes Liga Flanders,1
416,Australia,Diabetes New Zealand,1
417,Australia,Diabetes Research WA,2
418,Australia,Diabetes Research Western Australia,1
419,Australia,Diabetes Tasmania,3
420,Australia,Diabetes UK,3
421,Australia,Diabetes Victoria,2
422,Australia,Diabetes Wellness Suomi Säätiö,3
423,Australia,Diabetesforeningen,2
424,Australia,Diabetesförbundet,2
425,Australia,Diabetesliitto,1
426,Australia,Diabetestutkimussäätiö,3
427,Australia,Disability Council NSW,2
428,Australia,Disease Biology and Molecular Epidemiology,1
429,Australia,"Division of Diabetes, Endocrinology and Metabolic Diseases",1
430,Australia,"Division of Diabetes, Endocrinology, and Metabolic Diseases, DEM",1
431,Australia,"Doncaster Eye Center, Victoria",1
432,Australia,Dorothea Olivia,3
433,Australia,Duke-NUS,1
434,Australia,Duke-NUS Medical School,1
435,Australia,Duke-NUS Medical School Seed Funding,1
436,Australia,EC FP7,1
437,Australia,ELPEN,1
438,Australia,EU-FP7,1
439,Australia,Edith Hearn Bequest,1
440,Australia,"Edmond de Rothschild Foundation, EDRF",1
441,Australia,Egon Schumacher-Stiftung,1
442,Australia,Egyptian Fulbright Mission Program,1
443,Australia,Elcelyx,1
444,Australia,Eli Lilly Australia,1
445,Australia,Eli Lilly Italia,1
446,Australia,Eli Lilly and Company,8
447,Australia,Eli Lilly and Roche,4
448,Australia,Else Kröner Foundation,1
449,Australia,Else Stockmann Foundation,22
450,Australia,"Else Stockmann Foundation, “Liv och Hälsa” Society",1
451,Australia,Employees of Saint Luke's Mid America Heart Institute,1
452,Australia,"Endangered Language Fund, ELF",1
453,Australia,"Engineering and Physical Sciences Research Council, EPSRC",1
454,Australia,"Envision Eye Centre, New South Wales",1
455,Australia,Ethiopian Diabetes Association,1
456,Australia,Eugène Devic European Network,1
457,Australia,"Eunice Kennedy Shriver National Institute of Child Health and Human Development, NICHD",1
458,Australia,European Academy of Ophthalmology,1
459,Australia,European Association for Vision and Eye Research,1
460,Australia,"European Association for the Study of Diabetes, EASD",1
461,Australia,European Comission,1
462,Australia,"European Commission, EC",11
463,Australia,"European Federation of Pharmaceutical Industries and Associations, EFPIA",1
464,Australia,European Foundation,1
465,Australia,"European Foundation for the Study of Diabetes, EFSD",2
466,Australia,"European Regional Development Fund, ERDF",1
467,Australia,"European Regional Development Fund, FEDER",1
468,Australia,"European Research Council, ERC",2
469,Australia,"European Social Fund, ESF",1
470,Australia,European Union Framework Programme 7,1
471,Australia,European Union’s Seventh Framework Program,1
472,Australia,European-Community,1
473,Australia,"Eye Associates, New South Wales",4
474,Australia,Eye Birth Defects Foundation Inc,1
475,Australia,Eye Birth Defects Foundation Inc.,1
476,Australia,Eye Foundation in Finland,1
477,Australia,"Eye Specialists Greensborough, Victoria",1
478,Australia,Eye Surgery Associates,1
479,Australia,"EyeSight Foundation of Alabama, ESFA",1
480,Australia,FKC,1
481,Australia,FP7-265178-GeoViQua,1
482,Australia,Federal Government of Australia,1
483,Australia,Fight Retinal Blindness!,4
484,Australia,Fight for Sight UK,1
485,Australia,"Fight for Sight, FFS",1
486,Australia,Financial Markets Foundation for Children,1
487,Australia,Finnish Kidney Foundation,1
488,Australia,FinnishFoundationforCardiovascular Research,1
489,Australia,Finska Läkaresällskapet,11
490,Australia,Finska Läkaresällskapet and Tekes,1
491,Australia,"Finska Läkaresällskapet, FLS",1
492,Australia,Flinders Medical Center Eye Clinic,3
493,Australia,Flinders University,3
494,Australia,Folkhä lsan Research Foundation,1
495,Australia,Folkhälsan Research Foundation,1
496,Australia,Folkhälsanin Tutkimussäätiö,25
497,Australia,Fondation Leducq of France,1
498,Australia,Fondazione Diabete Ricerca,6
499,Australia,Fondazione Pisa,1
500,Australia,Fonden til Lægevidenskabens Fremme,1
501,Australia,"Foundation Fighting Blindness, FFB",1
502,Australia,"Foundation for the Author of National Excellent Doctoral Dissertation of the People's Republic of China, FANEDD",1
503,Australia,Foundation of Wenzhou City Science & Technology Bureau,1
504,Australia,"Fred Hollows Foundation, FHF",4
505,Australia,Freemasons New Zealand National Eye Centre,1
506,Australia,"Freemasons New Zealand, FMNZ",1
507,Australia,Fundamental Research Funds for the Central Universities,2
508,Australia,Fundamental Research Funds of the State Key Laboratory in Ophthalmology,3
509,Australia,"Fundamental Research Funds of the State Key Laboratory in Ophthalmology, Science and Technology Planning Project of Guangdong Province",1
510,Australia,Fundamental Research Funds of the State Key Laboratory of Ophthalmology,5
511,Australia,"Fundação de Amparo à Ciência e Tecnologia do Estado de Pernambuco, FACEPE",1
512,Australia,GSK Hellas,1
513,Australia,Genentech,5
514,Australia,General Practitioners Research Institute,1
515,Australia,General Research Fund,1
516,Australia,General Research Fund of Shanghai Normal University,1
517,Australia,"Genome Canada, GC",1
518,Australia,George Institute,1
519,Australia,George Institute for Global Health,1
520,Australia,German Center for Diabetes Research,1
521,Australia,German Federal Ministry of Health,1
522,Australia,Gilead Sciences,2
523,Australia,Glaucoma Research Society,1
524,Australia,"GlaxoSmithKline Australia, GSK",1
525,Australia,"GlaxoSmithKline, GSK",2
526,Australia,Gloucestershire Retinal Research Group,1
527,Australia,Google Impact Challenge Australia,1
528,Australia,GrayBug,1
529,Australia,Guangdong Provincial Applied Science and Technology Research and Development Program,1
530,Australia,Guangdong Provincial Pearl River Talents Program,1
531,Australia,Guangxi Key Lab of Multi-Source Information Mining and Security,1
532,Australia,Guangzhou Science and Technology Program key projects,2
533,Australia,"Guilin University of Aerospace Technology, GUAT",1
534,Australia,"H2020 European Research Council, ERC",1
535,Australia,Hadassah France,1
536,Australia,Harbor-UCLA Medical Center,1
537,Australia,"Harbor-University of California, Los Angeles Medical Center",1
538,Australia,Harry Perkins Institute for Medical Research,1
539,Australia,"Harry Perkins Institute of Medical Research, HPIMR",1
540,Australia,Harvard Catalyst,2
541,Australia,Harvard Medical School,1
542,Australia,Harvard T.H. Chan School of Public Health,1
543,Australia,Hawthorn Eye Clinic,2
544,Australia,Hazel Jean Eastham Bequest,1
545,Australia,"Health Foundation Limburg, HFL",1
546,Australia,Health Research,1
547,Australia,Health Research Authority,1
548,Australia,"Health Research Council of New Zealand, HRC",1
549,Australia,Health Technology Assessment,1
550,Australia,"Health Technology Assessment Programme, HTA",2
551,Australia,"Health, Madison",1
552,Australia,"Heart and Stroke Foundation of Canada, HSF",1
553,Australia,"Heidelberg Center for American Studies, University of Heidelberg",1
554,Australia,Heidelberg Engineering,2
555,Australia,Helen Hamlyn Trust,1
556,Australia,Helmsley Trust,2
557,Australia,Helsingin Yliopisto,1
558,Australia,"Helsingin Yliopisto, HY",4
559,Australia,"Helsingin ja Uudenmaan Sairaanhoitopiiri, HUS",10
560,Australia,"Hjartavernd, IHA",3
561,Australia,Hjärt-Lungfonden,1
562,Australia,Hobart Eye Surgeons,3
563,Australia,Hoechst Diabetes Research Development Board,1
564,Australia,Hong Kong Government Innovation and Technology Commission,1
565,Australia,Hong Kong Ophthalmological Society,1
566,Australia,Honoraria – Novartis,1
567,Australia,"Horizon 2020 Framework Programme, H2020",3
568,Australia,"Hornsby Eye Specialists, New South Wales",1
569,Australia,Hospital [Adelaide,1
570,Australia,Huxiang Youth Talent Support Program,1
571,Australia,"Háskóli Íslands, HI",3
572,Australia,ICO-Allergan,1
573,Australia,IMCB-SERI,1
574,Australia,INSERM-NHMRC,1
575,Australia,"Iacocca Family Foundation, IF",1
576,Australia,"Ian Potter Foundation, IPF",1
577,Australia,Imperial College London,1
578,Australia,Inala Community Jury for Aboriginal and Torres Strait Islander Health Research,1
579,Australia,Indian Diabetic Retinopathy Image Dataset,1
