,Funding,counts
2280,Else Stockmann Foundation,24
5383,National Eye Institute,24
5519,"National Institute on Minority Health and Health Disparities, NIMHD",24
4789,"Merck Sharp and Dohme, MSD",23
5711,Natural Science Foundation of Hunan Province,23
4920,"Ministry of Education, Culture, Sports, Science and Technology, MEXT",23
7949,"U.S. Department of Health and Human Services, HHS",23
5580,"National Medical Research Council, NMRC",23
7945,"U.S. Department of Defense, DOD",23
7042,Servier,23
249,"Alcon Research Institute, ARI",23
4279,Kyowa Hakko Kirin,23
7233,Sigrid Juséliuksen Säätiö,22
5679,Natural Science Foundation of Guangdong Province,22
5890,Novartis Pharma,22
6586,"Retina Research Foundation, RRF",22
3312,Heidelberg Engineering,22
2367,"European Research Council, ERC",22
3630,"Institut National de la Santé et de la Recherche Médicale, Inserm",21
4515,MSD K.K.,21
1135,"Canadian Institutes of Health Research, IRSC",21
7239,Silmäsäätiö,21
5486,"National Institute of Child Health and Human Development, NICHD",21
2307,"Engineering and Physical Sciences Research Council, EPSRC",21
5719,"Natural Sciences and Engineering Research Council of Canada, NSERC",21
4979,"Ministry of Science and Technology, Taiwan, MOST",21
4980,"Ministry of Science, ICT and Future Planning, MSIP",21
7421,State Government of Victoria,21
2364,"European Regional Development Fund, FEDER",20
5463,National Institute for Health Research Biomedical Research Centre at Moorfields Eye Hospital NHS Foundation Trust and UCL Institute of Ophthalmology,20
7974,UCL Institute of Ophthalmology,20
6061,Ono Pharmaceutical,20
4207,"Knights Templar Eye Foundation, KTEF",20
2047,Diabetesforeningen,20
6387,Päivikki ja Sakari Sohlbergin Säätiö,20
6009,"Office of Research and Development, ORD",20
7109,Shanghai Municipal Education Commission,20
8319,University of Utah,19
2996,Gilead Sciences,19
170,"Agence Nationale de la Recherche, ANR",19
3412,Horizon 2020,19
228,Alcon,19
5729,"Nederlandse Organisatie voor Wetenschappelijk Onderzoek, NWO",19
3959,"Johns Hopkins University, JHU",19
5403,National Eye Institute of the National Institutes of Health,18
5550,National Key R&D Program of China,18
4947,"Ministry of Health, Labour and Welfare, MHLW",18
1433,"Chinese Academy of Sciences, CAS",18
2335,"Eunice Kennedy Shriver National Institute of Child Health and Human Development, NICHD",18
6645,Rotterdamse Stichting Blindenbelangen,18
2833,"Fundação de Amparo à Pesquisa do Estado do Rio Grande do Sul, FAPERGS",18
1123,"Canadian Diabetes Association, CDA",18
5027,Moorfields Eye Charity,18
5572,National Major Science and Technology Projects of China,18
6564,Research to Prevent Blindness,18
6337,"Programa Operacional Temático Factores de Competitividade, POFC",17
7566,Swedish Diabetes Federation,17
4877,"Ministerio de Ciencia e Innovación, MICINN",17
3131,Guangzhou Science and Technology Program key projects,17
6085,"Ophthalmic Research Institute of Australia, ORIA",17
5455,"National Human Genome Research Institute, NHGRI",17
5675,Natural Science Foundation of Beijing Municipality,17
3969,"Johnson and Johnson, J&J",17
5927,Novo Nordisk Pharma,17
1423,"China Scholarship Council, CSC",17
124,Academy of Finland,17
1949,"Department of Science and Technology, Ministry of Science and Technology, India, डीएसटी",17
2587,Finska Läkaresällskapet,17
4015,"Juvenile Diabetes Research Foundation United Kingdom, JDRF",16
6887,"Science Foundation Ireland, SFI",16
5481,"National Institute of Allergy and Infectious Diseases, NIAID",16
2666,"Fonds de Recherche du Québec - Santé, FRQS",16
3429,"Hospital de Clínicas de Porto Alegre, HCPA",16
3271,"Health Services Research and Development, HSR&D",16
2830,"Fundação de Amparo à Pesquisa do Estado de São Paulo, FAPESP",16
2369,"European Social Fund, ESF",16
539,"Astellas Pharma US, APUS",16
5907,"Novartis Pharmaceuticals Corporation, NPC",16
21,A. Alfred Taubman Medical Research Institute,16
2542,"Federación Española de Enfermedades Raras, FEDER",16
5498,National Institute of Health,15
1206,"Case Western Reserve University, CWRU",15
6783,Sanofi K.K.,15
4009,"Juvenile Diabetes Research Foundation Australia, JDRF Australia",15
1747,Daiichi Sankyo Company,15
4450,Lowy Medical Research Institute,15
7603,"Syddansk Universitet, SDU",15
7955,"U.S. Food and Drug Administration, FDA",15
7529,"Sundhed og Sygdom, Det Frie Forskningsråd, FSS, DFF",15
5892,Novartis Pharma K.K.,15
4941,"Ministry of Health and Welfare, MOHW",15
3342,"Helsingin ja Uudenmaan Sairaanhoitopiiri, HUS",15
1176,Carl Marshall and Mildred Almen Reeves Foundation,14
5493,"National Institute of Environmental Health Sciences, NIEHS",14
731,Bayer Yakuhin,14
6747,Salah Foundation,14
1891,"Department of Health, Australian Government",14
4744,"Medicinska Forskningsrådet, MFR",14
7538,"Suomen Kulttuurirahasto, SKR",14
4613,Mary och Georg C. Ehrnrooths Stiftelse,14
605,"Australian Research Council, ARC",14
1674,Crafoordska Stiftelsen,14
8252,"University of Michigan, U-M",14
7488,"Stiftelsen för Strategisk Forskning, SSF",13
7619,Synoptik Foundation,13
8008,"UK Research and Innovation, UKRI",13
6028,"Ohio Lions Eye Research Foundation, OLERF",13
4924,"Ministry of Education, MOE",13
7136,Shanghai Pujiang Program,13
3844,"Japan Agency for Medical Research and Development, AMED",13
5692,Natural Science Foundation of Jiangxi Province,13
6106,"Oregon Health and Science University, OHSU",13
4080,"Karolinska Institutet, KI",13
2452,"EyeSight Foundation of Alabama, ESFA",13
303,Allergan Foundation,12
8817,Ögonfonden,12
8326,"University of Washington, UW",12
3385,Hjärt-Lungfonden,12
4588,Manpei Suzuki Diabetes Foundation,12
5503,"National Institute of Mental Health, NIMH",12
3614,"Innovative Medicines Initiative, IMI",12
6926,Science and Technology Planning Project of Guangdong Province,12
3280,Health and Family Planning Commission of Sichuan Province,12
8132,"University Grants Commission, UGC",12
4580,"Manchester Biomedical Research Centre, BRC",12
7447,Stealth BioTherapeutics,12
4427,Liv och Hälsa Society,12
4888,"Ministerio de Sanidad, Consumo y Bienestar Social, MISAN",12
3259,"Health Research Board, HRB",12
8424,Velux Fonden,12
7457,Stichting Blinden-Penning,12
7667,Taisho Toyama Pharmaceutical Company,12
2823,"Fundação Carlos Chagas Filho de Amparo à Pesquisa do Estado do Rio de Janeiro, FAPERJ",12
5196,"NIHR Biomedical Research Centre, Royal Marsden NHS Foundation Trust/Institute of Cancer Research, BRC",11
7305,"Société Francophone du Diabète, SFD",11
6681,Royal Victorian Eye and Ear Hospital,11
1117,Canada Research Chairs,11
7118,Shanghai Municipal Health and Family Planning Commission,11
8113,Universiteit Leiden,11
2086,"Division of Diabetes, Endocrinology and Metabolic Diseases",11
1450,"Chinese University of Hong Kong, CUHK",11
6132,"Otsuka Pharmaceutical, OPC",11
1618,"Consejo Nacional de Ciencia y Tecnología, CONACYT",11
5482,"National Institute of Arthritis and Musculoskeletal and Skin Diseases, NIAMS",11
5174,NIH/NEI,11
8247,"University of Miami, UM",11
204,"Air Force Office of Scientific Research, AFOSR",11
8242,University of Melbourne,11
2963,German Center for Diabetes Research,11
1725,DORC,11
6857,"School of Medicine, Johns Hopkins University, SOM, JHU",11
2203,"Economic and Social Research Council, ESRC",11
4359,Leona M. and Harry B. Helmsley Charitable Trust,11
2048,Diabetesförbundet,11
5528,National Institutes of Health National Eye Institute,11
7459,Stichting Blindenhulp,11
5322,National Basic Research Program of China,11
2664,"Fonds Wetenschappelijk Onderzoek, FWO",11
1777,Danish Eye Health Society,11
366,"American Health Assistance Foundation, AHAF",11
95,Abbott Diabetes Care,11
7268,Six Talent Peaks Project in Jiangsu Province,11
8780,ZonMw,11
4545,Macula Society,10
317,Alnylam,10
3086,Groschinsky Foundation,10
5444,National Heart Foundation of Australia,10
2357,European Foundation,10
281,"Algemene Nederlandse Vereniging ter voorkoming van Blindheid, ANVVB",10
4194,"King’s College London, KCL",10
4880,"Ministerio de Ciencia, Innovación y Universidades, MCIU",10
3762,Irish Research Council,10
993,"Burroughs Wellcome Fund, BWF",10
2890,Gaofeng Clinical Medicine,10
7959,"U.S. Public Health Service, USPHS",10
881,"Biotechnology and Biological Sciences Research Council, BBSRC",10
7210,Sichuan Province Science and Technology Support Program,10
2738,"Fred Hollows Foundation, FHF",10
3848,"Japan Diabetes Society, JDS",10
5704,Natural Science Foundation of Tianjin City,10
7232,Sigrid Juselius Foundation,10
8512,Waldemar von Frenckells Stiftelse,10
716,"Bayer HealthCare, BHC",10
4023,Järnhardt Foundation,10
4604,Marrus Family Foundation,10
5190,NIHR Biomedical Research Centre at Moorfields Eye Hospital NHS Foundation Trust,10
3582,"Indiana University, IU",10
6012,"Office of Research on Women's Health, ORWH",10
6876,"Schweizerischer Nationalfonds zur Förderung der Wissenschaftlichen Forschung, SNF",10
5594,National Natural Science Foundation of China,9
6619,"Roche Diabetes Care, RDC",9
6860,"School of Medicine, Shanghai Jiao Tong University, SJTUSM",9
7664,"Taisho Pharmaceutical Co., Ltd.",9
3774,"Israel Science Foundation, ISF",9
5967,"ONL Therapeutics, ONL",9
1291,"Central South University, CSU",9
4893,Ministero della Salute,9
6934,Science and Technology Program of Hunan Province,9
1944,"Department of Science and Technology of Sichuan Province, SPDST",9
8582,William & Mary Greve,9
8244,"University of Melbourne, UNIMELB",9
2973,German Federal Ministry of Health,9
2848,Fundo de Incentivo à Pesquisa e Eventos,9
6184,Paul MacKall and Evanina Bell MacKall Trust,9
8425,Velux Stiftung,9
7612,Sydäntutkimussäätiö,9
1259,"Center for Outcomes Research and Evaluation, Yale School of Medicine, CORE",9
5635,"National Science Council, NSC",9
340,"American Academy of Ophthalmology, AAO",9
1837,"Department of Biotechnology, Ministry of Science and Technology, India, DBT",9
5489,National Institute of Diabetes and Digestive and Kidney Diseases,9
1323,"Centro de Investigación Biomédica en Red Diabetes y Enfermedades Metabólicas Asociadas, CIBERDEM",9
3276,"Health Technology Assessment Programme, HTA",9
7191,Shionogi,9
3439,"Howard Hughes Medical Institute, HHMI",9
4558,"Magyar Tudományos Akadémia, MTA",9
6389,Påhlsson Foundation,9
2715,"Foundation for the National Institutes of Health, FNIH",9
3568,"Indian Council of Medical Research, ICMR",9
3174,HUCH,9
286,Alimera Sciences,9
954,"British Council for Prevention of Blindness, BCPB",9
2219,Edward N. and Della L. Thome Memorial Foundation,9
1416,"China Medical University Hospital, CMUH",9
5290,"Nanjing Medical University, NMU",9
7194,Shire,9
8649,Xunta de Galicia,9
2639,Fondazione Diabete Ricerca,8
5861,"Northwestern University, NU",8
4659,Mayo Clinic,8
8592,Wilmer Eye Institute,8
870,"Biomedical Research Council, BMRC",8
4426,Liv och Hälsa Foundation,8
868,"Biomedical Laboratory Research and Development, VA Office of Research and Development, BLR&D, ORD",8
5485,"National Institute of Biomedical Imaging and Bioengineering, NIBIB",8
973,Buchanan Charitable Foundation,8
7539,Suomen Lääketieteen Säätiö,8
6425,"Queen's University Belfast, QUB",8
1739,DZD,8
4403,"Lions Clubs International Foundation, LCIF",8
3570,"Indian Health Service, IHS",8
8114,"Universitetet i Bergen, UiB",8
6282,PolyPhotonix,8
7258,Sir Jules Thorn Charitable Trust,8
2111,"Doris Duke Charitable Foundation, DDCF",8
8461,Vifor Pharma,8
3240,Health Development Planning Commission Science Foundation of Jiangxi Province,8
939,BrightFocus Foundation,8
5699,Natural Science Foundation of Shandong Province,8
2150,E. Matilda Ziegler Foundation for the Blind,8
2942,Genzyme,8
748,Becton Dickinson,8
181,"Agency for Healthcare Research and Quality, AHRQ",8
7231,Signe ja Ane Gyllenbergin Säätiö,8
8298,University of Sydney,8
8302,"University of Sydney, Usyd",8
3261,"Health Research Council of New Zealand, HRC",8
6181,"Patient-Centered Outcomes Research Institute, PCORI",8
678,Basic Public Welfare Research Program of Zhejiang Province,8
5995,"Office of Extramural Research, National Institutes of Health, OER",8
552,AstraZeneca K.K.,8
8100,"Universidade Federal do Rio Grande do Sul, UFRGS",8
1887,"Department of Health and Social Care, DH",8
4871,Ministeriet Sundhed Forebyggelse,8
4552,Macular Society,8
3731,"International Glaucoma Association, IGA",8
7092,"Shanghai Jiao Tong University, SJTU",8
5965,ONL Therapeutics,8
1619,"Consejo Nacional de Investigaciones Científicas y Técnicas, CONICET",8
2356,"European Federation of Pharmaceutical Industries and Associations, EFPIA",8
789,"Beijing Municipal Science and Technology Commission, BMSTC",8
4451,"Lowy Medical Research Institute, LMRI",8
4011,"Juvenile Diabetes Research Foundation Canada, JDRF",8
7610,"Sydney Medical School Foundation, SMSF",8
4018,"Juvenile Diabetes Research Foundation, JDRF",8
3299,"Heart and Stroke Foundation of Canada, HSF",8
4468,Lunds Universitet,8
3127,Guangzhou Municipal Science and Technology Project,8
183,"Agency for Science, Technology and Research, A*STAR",7
5743,Netherlands Organization for Scientific Research,7
8316,"University of Toronto, U of T",7
6846,School of Medicine,7
6416,Queen Elizabeth Diamond Jubilee Trust,7
687,Basic and Applied Basic Research Foundation of Guangdong Province,7
3284,"Health and Medical Research Fund, HMRF",7
898,Boehringer,7
6087,Ophthalmology Department from Research to Prevent Blindness,7
3341,"Helsingin Yliopisto, HY",7
6017,"Office of the Director, OD",7
176,"Agencia Estatal de Investigación, AEI",7
87,"Aarhus Universitet, AU",7
7682,Takeda Science Foundation,7
1417,"China Medical University, CMU",7
1775,"Danish Diabetes Academy, DDA",7
118,Academia Sinica,7
2920,General Council of Aragon,7
8198,University of Dundee,7
1972,"Deutsche Diabetes Gesellschaft, DDG",7
3241,Health Development Planning Commission Science TCM Foundation of Jiangxi Province,7
26,A.P. Møller og Hustru Chastine Mc-Kinney Møllers Fond til almene Formaal,7
155,Adverum Biotechnologies,7
2062,Diputación General de Aragón,7
600,Australian National Health and Medical Research Council,7
1836,"Department of Biotechnology, Government of West Bengal, DBT-WB",7
2931,Generalitat de Catalunya,7
8690,Youth Innovation Promotion Association of the Chinese Academy of Sciences,7
1670,"Council of Scientific and Industrial Research, India, CSIR",7
3281,Health and Family Planning Committee of Pudong New Area,7
7116,Shanghai Municipal Health Commission,7
1383,"Chief Scientist Office, CSO",7
2968,German Diabetes Association,7
5152,"NIH Office of the Director, OD",7
2011,Diabetes Fonds,7
2046,Diabetesforbundet,7
5451,National High-tech Research and Development Program,7
2411,Excellent Talents Development Project of Jiangxi Province,7
7166,Shanxi Provincial Key Research and Development Project,7
4638,Massachusetts Lions Club,7
7464,Stichting Leids Oogheelkundig Ondersteuningsfonds,7
1477,Chugai Pharmaceutical,7
4868,"Ministerie van Economische Zaken, EZ",7
8165,University of Auckland,7
8036,US National Institutes of Health,7
7139,Shanghai Sailing Program,7
2236,Eisai,7
2690,Foundation Fighting Blindness Canada,7
7547,Suzhou Municipal Science and Technology Bureau,7
7022,Sehested Hansen’s Foundation,7
2042,"Diabetes, Endocrinology and Metabolism",7
377,"American Medical Association, AMA",7
4147,Key Research Foundation of Jiangxi Province,7
1187,"Carl Zeiss Meditec, Inc.",7
4404,Lions Eye Institute,7
265,Aldeyra Therapeutics,7
6584,Retina Nederland Onderzoek Fonds,7
7466,Stichting Macula Fonds,7
2457,F. Hoffmann-La Roche,7
2815,Fundamental Research Funds of the State Key Laboratory of Ophthalmology,7
5388,National Eye Institute Center,7
8534,Wayne State University,7
533,Astellas Foundation for Research on Metabolic Disorders,6
6773,Sanming Project of Medicine in Shenzhen,6
1325,"Centro de Investigación Biomédica en Red en Bioingeniería, Biomateriales y Nanomedicina, CIBER-BBN",6
7782,Thome Foundation,6
2610,"Fogarty International Center, FIC",6
1022,CCRE,6
4197,Kissei,6
2867,GCRF UKRI,6
4247,Kowa Company,6
5590,National Natural Science Foundation,6
7736,Terumo,6
1934,"Department of Ophthalmology, Visual and Anatomical Sciences",6
1032,CERA Foundation,6
7689,Tampereen Tuberkuloosisäätiö,6
4975,"Ministry of Science and Technology of the People's Republic of China, MOST",6
5608,National Nature Science Foundation of China,6
3416,Horncrest Foundation,6
7697,Tanoto Foundation,6
2755,Fudan University,6
7726,Teijin Pharma,6
4012,Juvenile Diabetes Research Foundation International,6
6672,Royal Society,6
7744,Teva Pharmaceutical Industries,6
4254,Kowa Pharmaceutical Europe,6
7377,Special Trustees of Moorfields Eye Hospital,6
484,Asahi Kasei Pharma,6
5596,"National Natural Science Foundation of China, NNSFC",6
689,Bausch & Lomb,6
5597,"National Natural Science Foundation of China, NNSFC, NNSF, NSF, NSFC",6
6658,"Royal College of Surgeons of Edinburgh, RCSEd",6
8115,"Universitetet i Oslo, UiO",6
3154,Gyroscope Therapeutics,6
406,Amylin Pharmaceuticals,6
6958,"Science, Technology and Innovation Commission of Shenzhen Municipality",6
2001,"Diabetes Canada, DC",6
2051,Diabetestutkimussäätiö,6
8237,"University of Maryland, UMD",6
6186,Paulon Säätiö,6
177,"Agencia Nacional de Promoción Científica y Tecnológica, ANPCyT",6
4722,Medical Science and Technology Project of Zhejiang Province,6
6006,"Office of Research Infrastructure Programs, National Institutes of Health, ORIP, NIH, NIH-ORIP, ORIP",6
3821,"Jaeb Center for Health Research, JCHR",6
5947,Nvidia,6
7941,"U.S. Department of Agriculture, USDA",6
3004,"Glaucoma Research Foundation, GRF",6
5113,NHS Foundation Trust,6
8220,"University of Illinois at Chicago, UIC",6
5458,National Institute for Health Research,6
4697,Medical Research Council,6
2028,"Diabetes Research and Wellness Foundation, DRWF",6
862,Biogen,6
4878,"Ministerio de Ciencia y Tecnología, MICYT",6
7188,"Shiga University of Medical Science, SUMS",6
3786,Italian Society of Diabetology,6
5435,National Health and Medical Research Council,6
2036,Diabetes Wellness Foundation,6
7525,"Sun Yat-sen University, SYSU",6
3300,"Heart and Stroke Foundation of Canada, HSFC",6
7683,"Takeda Science Foundation, TSF",6
3177,Haagse Stichting Blindenhulp,6
7086,"Shanghai Hospital Development Center, SHDC",6
6499,Region of Southern Denmark,6
2318,"Erasmus Medisch Centrum, Erasmus MC",6
4745,Medicinska Understödsföreningen Liv och Hälsa,6
4931,"Ministry of Health -Singapore, MOH",6
6615,"Robert Wood Johnson Foundation, RWJF",6
7681,"Takeda Pharmaceuticals U.S.A., TPUSA",6
711,Bayer Diabetes Care,6
1122,Canadian Clinical Trial Network,6
8077,Unity Biotechnology,6
7353,Spanish Government,6
5205,"NIHR Leicester Biomedical Research Centre, Leicester BRC",6
3905,Jiangsu Provincial Key Research and Development Program,6
8180,"University of California, San Diego, UCSD",6
1525,Clinical Research Plan of SHDC,6
2070,Direktör Albert Påhlssons Stiftelse,6
1998,"Diabetes Australia Research Trust, DART",6
8270,"University of Oklahoma Health Sciences Center, OUHSC",6
7244,SingHealth Foundation,6
5905,Novartis Pharmaceuticals Canada,6
1543,"Collaboration for Leadership in Applied Health Research and Care - Greater Manchester, NIHR CLAHRC Greater Manchester",6
4833,"Michigan Institute for Clinical and Health Research, MICHR",6
5513,"National Institute on Alcohol Abuse and Alcoholism, NIAAA",6
1996,Diabetes Australia,6
5514,"National Institute on Deafness and Other Communication Disorders, NIDCD",6
7238,Silmä- ja kudospankkisäätiö,6
160,"Aeronautical Development Agency, ADA",6
7336,South London and Maudsley NHS Foundation Trust,6
4593,March of Dimes Foundation,6
1860,Department of Education of Liaoning Province,6
7074,Shanghai General Hospital,6
4045,KalVista,5
3706,Intarcia Therapeutics,5
1175,"Carl Marshall Reeves & Mildred Almen Reeves Foundation, Inc.",5
5801,Nina C. Mackall Trust,5
8046,UTHSC,5
4032,KU Leuven,5
3163,"H2020 Marie Skłodowska-Curie Actions, MSCA",5
6222,Perrigo Diabetes Care,5
6037,Oklahoma Center for Adult Stem Cell Research,5
4046,KalVista Pharmaceuticals,5
3687,"Instituto Nacional de Ciência e Tecnologia para Excitotoxicidade e Neuroproteção, INCT-EN",5
7947,"U.S. Department of Energy, USDOE",5
5770,"New York Eye and Ear Infirmary of Mount Sinai, NYEE",5
613,"Austrian Science Fund, FWF",5
6356,Project of Special Research on Cardiovascular Diseases,5
3159,Göteborgs Läkaresällskap,5
6753,Samsung,5
938,Bright Focus Foundation,5
916,"Boston Children's Hospital, BCH",5
8127,"University College London, UCL",5
924,"Boston Scientific Corporation, BSC",5
1113,"Canada Foundation for Innovation, CFI",5
6066,"Ontario Ministry of Health and Long-Term Care, MOHLTC",5
3039,Google,5
1182,"Carl Zeiss Meditec, Chengdu Kanghong Biotech",5
1186,"Carl Zeiss Meditec, Inc",5
5934,"Novo Nordisk UK Research Foundation, NNUKRF",5
1346,Charitable Trust Fund for Ophthalmic Research in Commemoration of Santen Pharmaceutical's Founder,5
1285,Central Government Guides Local Science and Technology Development Foundation,5
6190,Pearl String Initiative Diabetes,5
2959,Geraldine Violett Foundation,5
8254,University of Mississippi Medical Center,5
8084,"Universidad Complutense de Madrid, UCM",5
985,"Bundesministerium für Gesundheit, BMG",5
6651,"Royal Bank of Canada, RBC",5
6302,Prevent Blindness,5
6299,"Presbyterian Health Foundation, PHF",5
5873,Nova Diabetes Care,5
6650,"Royal Australian and New Zealand College of Ophthalmologists, RANZCO",5
8279,University of Pennsylvania,5
6621,Roche Genentech,5
3371,Higher Education Discipline Innovation Project,5
8284,University of Pittsburgh,5
8089,"Universidad de Buenos Aires, UBA",5
6334,Program of Shanghai Academic Research Leader,5
3801,JDRF Center of Excellence at the University of Michigan,5
819,Belfast Association for the Blind,5
8178,"University of California, Irvine, UCI",5
3403,"Hong Kong Polytechnic University, PolyU",5
6239,Pfizer Japan,5
6462,Raine Medical Research Foundation,5
8190,University of Colorado Denver,5
8193,"University of Colorado, CU",5
3754,Ionis Pharmaceuticals,5
3073,Grassroots Health Appropriate Technology “Spark Promotion Plan” Project of Jiangxi Province,5
795,Beijing Nova Program,5
3053,Government of Jiangsu Province,5
5983,OccuRx,5
5972,OVAS,5
3307,"Heed Ophthalmic Foundation, HOF",5
5823,Nissi Foundation,5
1256,"Center for International Business Education and Research, University of Illinois at Urbana-Champaign, CIBER",5
2835,"Fundação de Apoio à Pesquisa do Estado da Paraíba, FAPESQ",5
8201,"University of Edinburgh, ED",5
1470,Christian Blind Mission,5
8052,Uehara Memorial Foundation,5
2180,ESM,5
4281,"Kyowa Hakko Kirin Co., Ltd.",5
7217,"Sichuan University, SCU",5
1488,Ci?ncia e a Tecnologia,5
2621,Fondation Leducq,5
7512,Strategic Research Area Exodiab,5
4719,Medical Science and Technology Development Project Fund of Nanjing,5
2635,"Fondation pour la Recherche Médicale, FRM",5
5626,National Research Foundation,5
2134,Duke-NUS Medical School,5
4758,Medtronic Diabetes,5
159,Aerie Pharmaceuticals,5
5194,NIHR Biomedical Research Centre for Mental Health,5
4226,"Korea Health Industry Development Institute, KHIDI",5
1788,"Danmarks Grundforskningsfond, DNRF",5
7481,"Stiftelsen Kronprinsessan Margaretas Arbetsnämnd för Synskadade, KMA",5
116,Abraham J. and Phyllis Katz Foundation,5
7472,Stichting Sint Annadal,5
7470,Stichting Ooglijders,5
6822,Scheie Eye Institute,5
528,"Associazione Italiana per la Ricerca sul Cancro, AIRC",5
7468,"Stichting Nederlands Oogheelkundig Onderzoek, SNOO",5
5277,"Nanchang University, NCU",5
469,"Arnold and Mabel Beckman Foundation, AMBF",5
4897,"Ministero dell’Istruzione, dell’Università e della Ricerca, MIUR",5
5317,"National Aeronautics and Space Administration, NASA",5
8536,"Wayne State University, WSU",5
365,"American Glaucoma Society, AGS",5
348,"American Cancer Society, ACS",5
8565,"West China Hospital, Sichuan University, WCH",5
4467,Lundbeckfonden,5
5428,National Health Service,5
2536,Familien Hede Nielsens Fond,5
8613,"World Health Organization, WHO",5
4557,Magnus Bergvalls Stiftelse,5
2285,Emil Aaltosen Säätiö,5
6900,"Science and Engineering Research Board, SERB",5
7565,Swedish Diabetes Association,5
264,Alcon/Novartis,5
2264,Eli-Lilly,5
2560,Fight for Sight Denmark,5
445,Apellis Pharmaceuticals,5
8641,"Xiangya Hospital, Central South University",5
450,Applied Basic Research Foundation of Yunnan Province,5
239,Alcon Laboratories,5
222,"Alberta Heritage Foundation for Medical Research, AHFMR",5
