,Journal,Document Type,counts
3389,Diabetes care,Letter,142
956,American journal of ophthalmology,Letter,139
8314,Ophthalmic epidemiology,Article,136
3045,Current diabetes reports,Review,133
8246,Oftalmologicheskii zhurnal,Article,133
6600,Journal of ophthalmology,Article,132
6002,Journal of cataract and refractive surgery,Article,131
9373,Progress in biomedical optics and imaging - proceedings of spie,Conference paper,129
5773,Japanese journal of clinical ophthalmology,Conference paper,125
3365,Diabetes and metabolism,Article,124
8377,Ophthalmology,Letter,124
9397,Progress in retinal and eye research,Review,124
2485,Chinese ophthalmic research,Article,119
5444,International journal of molecular sciences,Article,118
636,Acta ophthalmologica scandinavica,Article,116
3360,Diabetes and metabolic syndrome: clinical research and reviews,Article,114
3166,Current opinion in ophthalmology,Review,111
3440,"Diabetes, metabolic syndrome and obesity",Article,108
9183,Proceedings of spie - the international society for optical engineering,Conference paper,108
5226,International eye science,Review,106
7500,Medicine (united states),Article,106
6151,Journal of diabetes investigation,Article,106
6579,Journal of ocular pharmacology and therapeutics,Article,105
8353,Ophthalmologe,Article,105
1951,Bmj open,Article,104
8833,Practical diabetes international,Article,104
6047,Journal of clinical endocrinology and metabolism,Article,104
1128,Annali di ottalmologia e clinica oculistica,Article,103
3391,Diabetes care,Review,99
4044,Experimental and clinical endocrinology and diabetes,Article,98
10022,Seminars in ophthalmology,Article,97
632,Acta ophthalmologica,Letter,97
8103,Nippon rinsho. japanese journal of clinical medicine,Review,96
3460,Diabetes/metabolism research and reviews,Article,96
9514,Recent advances in ophthalmology,Article,95
1954,Bmj open diabetes research and care,Article,94
1667,Biochemical and biophysical research communications,Article,94
3431,Diabetes therapy,Article,93
3449,"Diabetes, obesity and metabolism",Article,92
8428,Optometry and vision science,Article,92
4323,Frontiers in endocrinology,Review,90
5752,Jama ophthalmology,Note,87
10614,Transactions of the ophthalmological societies of the united kingdom,Article,85
2249,Cardiovascular diabetology,Article,85
2459,Chinese journal of ophthalmology,Article,83
1200,Annals of ophthalmology,Article,82
4893,Ieee access,Article,81
1417,Archivos de la sociedad espanola de oftalmologia,Article,80
10236,Survey of ophthalmology,Review,77
7612,Microvascular research,Article,77
8102,Nippon rinsho. japanese journal of clinical medicine,Article,76
964,American journal of pathology,Article,76
3390,Diabetes care,Note,75
10422,The lancet,Letter,75
5522,International journal of retina and vitreous,Article,75
3485,Diabetic medicine,Review,74
5339,International journal of diabetes in developing countries,Article,74
9619,Retina-vitreus,Article,74
9296,"Proceedings of the annual international conference of the ieee engineering in medicine and biology society, embs",Conference paper,73
9608,Retina,Letter,72
3334,Diabete et metabolisme,Article,72
3425,Diabetes technology and therapeutics,Article,72
7925,Nephrology dialysis transplantation,Article,71
8888,Primary care diabetes,Article,71
1443,Arquivos brasileiros de oftalmologia,Article,71
3534,Diabetology and metabolic syndrome,Article,71
3185,Current pharmaceutical design,Review,71
4338,Frontiers in medicine,Article,70
748,Advances in intelligent systems and computing,Conference paper,69
3048,Current diabetes reviews,Review,69
4763,Hormone and metabolic research,Article,69
7206,Lecture notes in networks and systems,Conference paper,68
11029,Zhonghua shiyan yanke zazhi/chinese journal of experimental ophthalmology,Review,67
7202,Lecture notes in electrical engineering,Conference paper,66
2572,Clinical and experimental optometry,Article,66
9627,Retinal cases and brief reports,Article,66
2456,Chinese journal of ocular fundus diseases,Article,66
8091,Nippon ganka gakkai zasshi,Article,65
1754,Biomed research international,Article,65
3546,Diagnostics,Article,64
1777,Biomedical optics express,Article,64
3537,Diabetology international,Article,63
3483,Diabetic medicine,Letter,63
6162,Journal of diabetes science and technology,Article,63
5571,International ophthalmology clinics,Article,63
9755,Revista mexicana de oftalmologia,Article,63
574,Acta diabetologica latina,Article,62
10645,Transplantation proceedings,Article,62
2060,British journal of ophthalmology,Letter,62
4147,Eye,Letter,62
8244,"Oftalmologia (bucharest, romania : 1990)",Article,61
1384,Archives of ophthalmology,Letter,60
2842,Communications in computer and information science,Conference paper,60
1790,Biomedical signal processing and control,Article,60
8055,New england journal of medicine,Article,59
3046,Current diabetes reviews,Article,59
5019,Indian journal of clinical and experimental ophthalmology,Article,58
2080,British medical journal,Article,58
10026,Seminars in ophthalmology,Review,58
4558,Graefe's archive for clinical and experimental ophthalmology,Letter,58
3510,Diabetologia,Review,58
3379,Diabetes and vascular disease research,Article,58
7783,Multimedia tools and applications,Article,58
2926,Computers in biology and medicine,Article,57
7573,Metabolism: clinical and experimental,Article,57
5470,International journal of ophthalmology,Review,57
3330,Developments in ophthalmology,Article,57
2062,British journal of ophthalmology,Review,57
958,American journal of ophthalmology case reports,Article,57
1893,Bmc endocrine disorders,Article,57
7109,Korean journal of ophthalmology : kjo,Article,57
8390,Ophthalmology in china,Article,56
8380,Ophthalmology and therapy,Article,56
10140,Spektrum der augenheilkunde,Article,55
4363,Frontiers in pharmacology,Article,55
3972,European journal of pharmacology,Article,55
8496,Pakistan journal of medical sciences,Article,55
6161,Journal of diabetes research,Review,54
6884,Journal of the medical association of thailand,Article,54
4156,Eye (basingstoke),Review,54
8564,Pediatric diabetes,Article,54
7683,Modern problems in ophthalmology,Article,54
5370,International journal of environmental research and public health,Article,54
10285,Telemedicine and e-health,Article,53
9610,Retina,Review,53
7228,Life sciences,Article,53
5056,Indian journal of ophthalmology,Review,53
8057,New england journal of medicine,Letter,53
4945,Ieee transactions on medical imaging,Article,53
2340,Cells,Review,52
8339,Ophthalmic surgery lasers and imaging,Article,52
10419,The lancet,Article,52
617,Acta medica scandinavica,Article,52
4131,Expert review of ophthalmology,Review,52
9668,Revista brasileira de oftalmologia,Article,52
11045,[zhonghua yan ke za zhi] chinese journal of ophthalmology,Article,51
2821,Cochrane database of systematic reviews,Review,51
2373,Ceska a slovenska oftalmologie,Article,50
10232,Survey of ophthalmology,Article,50
10646,Transplantation proceedings,Conference paper,50
4191,Faseb journal,Article,50
3508,Diabetologia,Letter,50
2169,Canadian journal of diabetes,Article,50
2474,Chinese medical journal,Article,49
3995,European review for medical and pharmacological sciences,Article,49
518,Acm international conference proceeding series,Conference paper,49
7731,Molecular medicine reports,Article,49
6136,Journal of diabetes,Article,49
2984,Cornea,Article,48
6074,Journal of clinical medicine,Review,48
3415,Diabetes research and clinical practice,Review,48
1367,Archives of internal medicine,Article,48
8396,Ophthalmology retina,Conference paper,48
2282,Case reports in ophthalmology,Article,48
9349,Proceedings of the national academy of sciences of the united states of america,Article,47
4154,Eye (basingstoke),Letter,47
1940,Bmj case reports,Article,47
2426,Chinese journal of clinical rehabilitation,Article,47
6039,Journal of clinical and diagnostic research,Article,47
7454,Medical science monitor,Article,46
5574,International ophthalmology clinics,Review,46
7616,Middle east african journal of ophthalmology,Article,46
2906,Computer methods and programs in biomedicine,Article,46
8231,Ocular immunology and inflammation,Article,46
10892,Wiener klinische wochenschrift,Article,46
10162,Statistics in medicine,Article,45
5947,Journal of biological chemistry,Article,45
7900,Nederlands tijdschrift voor geneeskunde,Article,45
8167,Nutrients,Article,45
2569,Clinical and experimental ophthalmology,Letter,45
5758,Jama: the journal of the american medical association,Article,45
8375,Ophthalmology,Conference paper,45
10977,Zeitschrift fur die gesamte innere medizin und ihre grenzgebiete,Article,44
734,Advances in experimental medicine and biology,Book chapter,44
2571,Clinical and experimental ophthalmology,Review,43
2717,Clinical ophthalmology,Review,43
10834,Vision research,Article,43
2542,Clinica chimica acta,Article,43
3770,Endocrine journal,Article,43
10488,The tohoku journal of experimental medicine,Article,43
5157,Internal medicine,Article,42
7571,Metabolism,Article,42
7350,Medecine des maladies metaboliques,Article,42
6017,Journal of cellular physiology,Article,42
6650,Journal of personalized medicine,Article,42
8442,Orvosi hetilap,Article,42
1804,Biomedicine and pharmacotherapy,Article,42
8902,Problemy endokrinologii,Article,42
3775,Endocrine practice,Article,42
8376,Ophthalmology,Editorial,41
3303,Deutsche medizinische wochenschrift,Article,41
8186,"Nutrition, metabolism and cardiovascular diseases",Article,41
3386,Diabetes care,Conference paper,41
1956,Bmj open ophthalmology,Article,41
2381,Ceskoslovenska oftalmologie,Article,41
634,Acta ophthalmologica,Review,40
5055,Indian journal of ophthalmology,Note,40
777,Advances in therapy,Article,40
6863,Journal of the indian medical association,Article,40
3110,Current medicinal chemistry,Review,40
4560,Graefe's archive for clinical and experimental ophthalmology,Review,40
7405,Medical hypotheses,Article,40
3463,Diabetes/metabolism research and reviews,Review,40
6680,Journal of physics: conference series,Conference paper,40
10956,"Yan ke xue bao = eye science / ""yan ke xue bao"" bian ji bu",Article,40
2058,British journal of ophthalmology,Editorial,39
8336,Ophthalmic surgery and lasers,Article,39
4367,Frontiers in pharmacology,Review,39
10855,Vnitrni lekarstvi,Article,39
6367,Journal of international medical research,Article,39
10604,Transactions of the american ophthalmological society,Article,39
6147,Journal of diabetes and metabolic disorders,Article,39
6167,Journal of diabetic complications,Article,39
5054,Indian journal of ophthalmology,Letter,39
8310,Ophthalmic and physiological optics,Article,39
733,Advances in experimental medicine and biology,Article,38
2568,Clinical and experimental ophthalmology,Editorial,38
2186,Canadian journal of ophthalmology,Letter,38
3102,Current medical research and opinion,Article,38
6271,Journal of glaucoma,Article,38
2082,British medical journal,Letter,38
3759,Endocrine,Article,37
2338,Cells,Article,37
1268,Antioxidants,Article,37
4916,Ieee journal of biomedical and health informatics,Article,37
3371,Diabetes and metabolism journal,Article,37
6063,Journal of clinical investigation,Article,37
8169,Nutrients,Review,37
8366,Ophthalmologica,Review,36
7376,Mediators of inflammation,Article,36
5751,Jama ophthalmology,Letter,36
10808,Vestnik oftalmologii,Review,36
4007,Evidence-based complementary and alternative medicine,Article,36
8333,Ophthalmic surgery,Article,36
9926,Saudi journal of ophthalmology,Article,36
7088,Klinische monatsblatter fur augenheilkunde,Review,36
8401,Ophthalmology science,Article,35
1489,Asia-pacific journal of ophthalmology,Review,35
6908,Journal of the pakistan medical association,Article,35
1307,Applied sciences (switzerland),Article,34
7410,Medical image analysis,Article,34
2108,Bulletin de la societe belge d'ophtalmologie,Article,34
1806,Biomedicine and pharmacotherapy,Review,34
4080,Experimental eye research,Review,34
5959,Journal of biomedical optics,Article,34
10343,The british journal of ophthalmology,Article,33
954,American journal of ophthalmology,Editorial,33
8638,Pharmaceutics,Review,33
10321,The american journal of medicine,Article,33
5919,Journal of association of physicians of india,Article,33
7047,Kidney international,Article,33
8253,Oftalmologiya,Article,32
2416,Chinese general practice,Article,32
8319,Ophthalmic genetics,Article,32
6191,Journal of endocrinological investigation,Article,32
8358,Ophthalmologe,Review,32
9929,Saudi medical journal,Article,32
1174,Annals of internal medicine,Article,32
6628,Journal of pediatric endocrinology and metabolism,Article,31
5029,Indian journal of endocrinology and metabolism,Article,31
6473,Journal of medical systems,Article,31
1270,Antioxidants,Review,31
7419,Medical journal of australia,Article,31
4970,Ifmbe proceedings,Conference paper,31
8664,Pharmacological research,Review,31
918,American journal of kidney diseases,Article,31
2031,British journal of diabetes and vascular disease,Article,31
4024,Evidence-based ophthalmology,Note,31
3406,Diabetes research,Article,30
4102,Expert opinion on investigational drugs,Review,30
3364,Diabetes and metabolic syndrome: clinical research and reviews,Review,30
10395,The journal of the association of physicians of india,Article,30
8332,Ophthalmic research,Review,30
1822,Biomolecules,Review,30
577,Acta endocrinologica,Article,30
6851,Journal of the college of physicians and surgeons pakistan,Article,30
7470,Medicina (lithuania),Article,30
6397,Journal of korean ophthalmological society,Article,30
9862,"Romanian journal of diabetes, nutrition and metabolic diseases",Article,30
6602,Journal of ophthalmology,Review,29
10735,Ugeskrift for laeger,Article,29
10116,South african medical journal,Article,29
3345,Diabetes,Review,29
9940,Scandinavian journal of clinical and laboratory investigation,Article,29
3401,Diabetes mellitus,Article,29
6995,Journal of visualized experiments,Article,29
5296,International journal of clinical and experimental medicine,Article,29
824,Aip conference proceedings,Conference paper,29
8839,Practical diabetes international,Review,29
903,American journal of epidemiology,Article,29
8088,Nihon rinsho. japanese journal of clinical medicine,Article,29
4056,Experimental and therapeutic medicine,Article,29
10432,The lancet diabetes and endocrinology,Note,29
8812,Postgraduate medical journal,Article,29
6146,Journal of diabetes and its complications,Review,29
7690,Molecular and cellular biochemistry,Article,29
8816,Postgraduate medicine,Article,29
4334,Frontiers in immunology,Review,29
3454,"Diabetes, obesity and metabolism",Review,28
8245,"Oftalmologia (bucharest, romania : 1990)",Review,28
8709,Photodiagnosis and photodynamic therapy,Article,28
5617,Investigative ophthalmology & visual science,Article,28
9588,Research journal of pharmacy and technology,Article,28
4331,Frontiers in immunology,Article,28
4106,Expert opinion on pharmacotherapy,Review,28
7649,Minerva oftalmologica,Article,28
1899,Bmc health services research,Article,28
2458,Chinese journal of ocular fundus diseases,Review,27
8471,Oxidative medicine and cellular longevity,Article,27
9474,Qjm,Article,27
7952,Neural regeneration research,Review,27
4269,Fortschritte der ophthalmologie,Article,27
10712,Turkish journal of ophthalmology,Article,27
6360,Journal of internal medicine,Article,27
1228,Annals of the new york academy of sciences,Conference paper,27
3916,European journal of endocrinology,Article,27
3369,Diabetes and metabolism,Review,27
2111,Bulletin de la société belge d'ophtalmologie,Article,27
8909,Procedia computer science,Conference paper,27
4231,Folia japonica de ophthalmologica clinica,Article,27
8798,Polskie archiwum medycyny wewnetrznej,Article,27
7016,"Journees annuelles de diabetologie de l""hotel-dieu",Article,27
10298,Terapevticheskii arkhiv,Article,27
3443,"Diabetes, nutrition and metabolism - clinical and experimental",Article,27
3080,Current eye research,Review,27
7566,"Metabolic, pediatric and systemic ophthalmology",Article,26
1785,Biomedical research (india),Article,26
4126,Expert review of ophthalmology,Article,26
3962,European journal of ophthalmology,Review,26
5306,International journal of clinical practice,Article,26
6803,Journal of the american geriatrics society,Article,26
5256,International journal of applied engineering research,Article,26
3819,"Endocrinology, diabetes and metabolism",Article,26
6997,Journal of vitreoretinal diseases,Article,26
4279,Free radical biology and medicine,Article,26
2661,Clinical hemorheology and microcirculation,Article,26
5441,International journal of molecular medicine,Article,26
2764,Clinical therapeutics,Article,26
4369,Frontiers in physiology,Article,26
6013,Journal of cellular and molecular medicine,Article,25
5627,Investigative ophthalmology and visual science,Review,25
7586,Methods in molecular biology,Book chapter,25
8258,Oman journal of ophthalmology,Article,25
2885,Computational and mathematical methods in medicine,Article,25
8662,Pharmacological research,Article,25
4148,Eye,Review,25
8069,New zealand medical journal,Article,25
10597,Transactions - american academy of ophthalmology and otolaryngology,Article,25
6213,Journal of ethnopharmacology,Article,25
5742,Jama network open,Article,25
10355,The diabetes educator,Article,25
3043,Current diabetes reports,Article,25
9676,Revista clinica espanola,Article,25
8342,Ophthalmic surgery lasers and imaging retina,Conference paper,25
6005,Journal of cataract and refractive surgery,Letter,25
1675,Biochemical pharmacology,Article,25
9117,Proceedings - international symposium on biomedical imaging,Conference paper,24
3519,Diabetologia polska,Article,24
841,Albrecht von graefes archiv für klinische und experimentelle ophthalmologie,Article,24
4936,Ieee transactions on biomedical engineering,Article,24
2520,Circulation,Article,24
8498,Pakistan journal of ophthalmology,Article,24
735,Advances in experimental medicine and biology,Conference paper,24
3815,Endocrinology and metabolism clinics of north america,Review,24
5074,Indian journal of public health research and development,Article,24
7645,Minerva medica,Article,24
7473,Medicina clinica,Article,24
3901,European journal of clinical investigation,Article,24
9700,"Revista de chirurgie, oncologie, radiologie, o. r. l., oftalmologie, stomatologie. oftalmologie",Article,24
3655,Drugs,Article,24
2919,Computerized medical imaging and graphics,Article,24
7382,Medical and biological engineering and computing,Article,24
2755,Clinical science,Article,24
1382,Archives of ophthalmology,Editorial,24
1553,Australian and new zealand journal of ophthalmology,Article,24
5358,International journal of endocrinology,Article,24
1455,"Arteriosclerosis, thrombosis, and vascular biology",Article,24
10687,Tunisie medicale,Article,23
1075,Angiogenesis,Article,23
2909,Computer methods in biomechanics and biomedical engineering: imaging and visualization,Article,23
7533,Medizinische klinik,Article,23
3134,Current ophthalmology reports,Review,23
9586,"Research journal of pharmaceutical, biological and chemical sciences",Article,23
10547,Thrombosis and haemostasis,Article,23
698,Advanced drug delivery reviews,Review,23
10077,Singapore medical journal,Article,23
5408,International journal of imaging systems and technology,Article,23
7433,Medical journal of malaysia,Article,23
3239,Cutaneous and ocular toxicology,Article,23
3511,Diabetologia croatica,Article,23
6591,Journal of ophthalmic and vision research,Article,23
8599,Peerj,Article,23
2486,Chinese ophthalmic research,Review,23
9618,Retina today,Note,23
3108,Current medicinal chemistry,Article,22
9110,"Proceedings - international conference on image processing, icip",Conference paper,22
1715,Bioengineered,Article,22
8250,Oftalmologija. vostochnaja evropa,Article,22
2696,Clinical nephrology,Article,22
3436,Diabetes und stoffwechsel,Article,22
6820,Journal of the american optometric association,Article,22
5687,Israel journal of medical sciences,Article,22
7401,Medical forum monthly,Article,22
9559,Renal failure,Article,22
578,"Acta endocrinologica, supplement",Article,22
3790,Endocrinologia y nutricion,Article,22
1808,Biomedicines,Article,22
8384,Ophthalmology and therapy,Review,22
7208,Lecture notes on data engineering and communications technologies,Book chapter,22
3183,Current pharmaceutical design,Article,22
7760,Molecules,Article,22
10429,The lancet diabetes and endocrinology,Article,22
2832,Collegium antropologicum,Article,22
10897,Wiener medizinische wochenschrift,Article,22
2352,Cellular physiology and biochemistry,Article,22
2130,Bulletin of the ophthalmological society of egypt,Article,22
7830,National medical journal of china,Article,22
8495,Pakistan journal of medical and health sciences,Article,22
1932,Bmj,Letter,22
9789,Revue du praticien,Review,22
3961,European journal of ophthalmology,Letter,22
10125,Southern medical journal,Article,22
6015,Journal of cellular biochemistry,Article,22
4500,German journal of ophthalmology,Article,21
9606,Retina,Conference paper,21
8827,Practical diabetes,Article,21
3500,Diabetologe,Article,21
2461,Chinese journal of ophthalmology,Review,21
5774,Japanese journal of clinical ophthalmology,Review,21
1524,Atherosclerosis,Article,21
2850,Community eye health journal,Article,21
5666,Irish journal of medical science,Article,21
4152,Eye (basingstoke),Editorial,21
8296,Open ophthalmology journal,Article,21
4370,Frontiers in physiology,Review,21
7501,Medicine (united states),Review,21
2137,"Bulletins et memoires de la societe francaise d""ophtalmologie",Article,21
6173,Journal of digital imaging,Article,21
5625,Investigative ophthalmology and visual science,Letter,21
10203,Studies in health technology and informatics,Conference paper,21
8834,Practical diabetes international,Conference paper,21
3246,Cytokine,Article,20
1374,Archives of medical research,Article,20
795,African vision and eye health,Article,20
9845,Rinsho byori. the japanese journal of clinical pathology,Article,20
7085,Klinische monatsblatter fur augenheilkunde,Conference paper,20
4435,Gene,Article,20
10551,Thrombosis research,Article,20
5879,Journal of advanced research in dynamical and control systems,Article,20
1220,Annals of the academy of medicine singapore,Article,20
6779,Journal of telemedicine and telecare,Article,20
4833,Hypertension,Article,20
1328,"Archives d""ophtalmologie et revue generale d""ophtalmologie",Article,20
8423,Optometry,Article,20
7950,Neural regeneration research,Article,20
1486,Asia-pacific journal of ophthalmology,Article,20
8473,Oxidative medicine and cellular longevity,Review,20
10041,Sensors,Article,20
6599,Journal of ophthalmic nursing & technology,Article,20
7163,Lancet,Article,20
4354,Frontiers in neuroscience,Article,20
7966,Neurochemical research,Article,20
1913,Bmc nephrology,Article,20
5516,International journal of recent technology and engineering,Article,20
5299,International journal of clinical and experimental pathology,Article,20
2632,Clinical diabetology,Article,20
4962,Iet image processing,Article,20
3344,Diabetes,Note,20
7448,Medical physics,Article,20
9616,Retina today,Article,20
2383,Ceskoslovenská oftalmologie,Article,20
6919,Journal of the royal society of medicine,Article,20
2576,Clinical and experimental optometry,Review,20
3067,Current drug targets,Review,20
3387,Diabetes care,Editorial,20
5780,Japanese journal of national medical services,Article,19
2086,British medical journal (clinical research ed.),Article,19
4621,Harefuah,Article,19
4114,Expert opinion on therapeutic targets,Review,19
5486,International journal of pharmaceutical research,Article,19
2428,Chinese journal of diabetes mellitus,Article,19
8636,Pharmaceutics,Article,19
3527,Diabetologie und stoffwechsel,Article,19
7887,Nature reviews endocrinology,Review,19
2639,Clinical endocrinology,Article,19
9847,Rinsho ganka. japanese journal of clinical ophthalmology,Article,19
6155,Journal of diabetes investigation,Review,19
3795,"Endocrinologia, diabetes y nutricion",Article,19
4373,Frontiers in public health,Article,19
8094,Nippon ganka gakkai zasshi,Review,19
6437,Journal of medical case reports,Article,19
1835,Bioscience reports,Article,19
3335,Diabete et metabolisme,Conference paper,19
4013,Evidence-based eye care,Short survey,19
3626,Drug discovery today,Review,19
7160,Lakartidningen,Article,19
5155,Internal diseases,Article,19
9925,"Saudi journal of kidney diseases and transplantation : an official publication of the saudi center for organ transplantation, saudi arabia",Article,19
6127,Journal of current ophthalmology,Article,19
3548,Diagnostics,Review,19
5862,Journal francais d'ophtalmologie,Review,19
10770,Value in health,Article,19
1695,Biochimica et biophysica acta - molecular basis of disease,Article,19
7543,Medizinische welt,Article,19
6449,Journal of medical imaging and health informatics,Article,18
8387,Ophthalmology clinics of north america,Review,18
8273,Oncotarget,Article,18
7955,Neuro-ophthalmology,Article,18
913,American journal of hypertension,Article,18
4111,Expert opinion on therapeutic patents,Review,18
7022,Jraas - journal of the renin-angiotensin-aldosterone system,Article,18
4122,Expert review of endocrinology and metabolism,Review,18
1759,Biomed research international,Review,18
1422,Archivos de la sociedad española de oftalmología,Article,18
7393,Medical clinics of north america,Review,18
7596,Microcirculation,Article,18
1245,Annual international conference of the ieee engineering in medicine and biology - proceedings,Conference paper,18
7934,Nephron,Article,18
3657,Drugs,Review,18
9614,"Retina (philadelphia, pa.)",Note,18
7230,Life sciences,Review,18
884,American journal of cardiology,Article,18
7379,Mediators of inflammation,Review,18
3482,Diabetic medicine,Editorial,18
10092,"Smart innovation, systems and technologies",Conference paper,18
5052,Indian journal of ophthalmology,Editorial,18
2087,British medical journal (clinical research ed.),Letter,18
2185,Canadian journal of ophthalmology,Editorial,18
2599,Clinical biochemistry,Article,18
2929,"Computers, materials and continua",Article,18
4271,Fortschritte der ophthalmologie : zeitschrift der deutschen ophthalmologischen gesellschaft,Article,18
10842,Visual dysfunction in diabetes: the science of patient impairment and health care,Book chapter,18
1498,Asian journal of pharmaceutical and clinical research,Article,18
2533,Cirugia y cirujanos,Article,18
5570,International ophthalmology,Review,18
4270,Fortschritte der ophthalmologie,Conference paper,18
3331,Developments in ophthalmology,Review,18
10710,Turkish journal of medical sciences,Article,18
3813,Endocrinology and metabolism clinics of north america,Article,17
6316,Journal of hypertension,Article,17
3581,Disease markers,Article,17
1178,Annals of internal medicine,Note,17
6991,Journal of visual impairment and blindness,Article,17
3442,"Diabetes, metabolic syndrome and obesity",Review,17
9797,Revue francaise d'endocrinologie clinique - nutrition et metabolisme,Article,17
4089,Expert opinion on biological therapy,Review,17
4839,Hypertension research,Article,17
6754,Journal of shanghai jiaotong university (medical science),Article,17
3207,Current status of prevention and treatment of diabetic complications: proceedings of the third international symposium on treatment of diabetes mellitus. ics821,Conference paper,17
7639,Minerva endocrinologica,Article,17
6530,Journal of neuro-ophthalmology,Article,17
5241,International journal of advanced computer science and applications,Article,17
9655,Reviews in endocrine and metabolic disorders,Review,17
9742,Revista medica de chile,Article,17
1397,Archives of physiology and biochemistry,Article,17
1273,Antioxidants and redox signaling,Review,17
10502,Therapeutic advances in endocrinology and metabolism,Article,17
4409,Gaceta medica de mexico,Article,17
2316,Cell death and disease,Article,17
5722,Jama,Article,17
10641,Transplantation,Article,17
977,American journal of physiology - endocrinology and metabolism,Article,17
1202,Annals of ophthalmology - glaucoma,Article,17
7705,Molecular biology reports,Article,17
3397,Diabetes forecast,Article,17
573,Acta diabetologica,Review,17
8604,Peptides,Article,17
10602,Transactions of the american academy of ophthalmology and otolaryngology,Article,17
10200,Studies in computational intelligence,Book chapter,16
9787,Revue du praticien,Article,16
10555,Tidsskrift for den norske laegeforening,Article,16
4325,Frontiers in genetics,Article,16
7971,Neurocomputing,Article,16
6441,Journal of medical economics,Article,16
6595,Journal of ophthalmic and vision research,Review,16
3503,Diabetologe,Review,16
10575,Tohoku journal of experimental medicine,Article,16
4306,Frontiers in cell and developmental biology,Review,16
10433,The lancet diabetes and endocrinology,Review,16
6447,Journal of medical imaging,Article,16
6395,Journal of korean medical science,Article,16
8866,Presse medicale,Article,16
5591,International urology and nephrology,Article,16
3514,Diabetologia doswiadczalna i kliniczna,Article,16
7861,Nature communications,Article,16
631,Acta ophthalmologica,Editorial,16
2623,Clinical diabetes,Article,16
4063,Experimental biology and medicine,Article,16
5427,International journal of lower extremity wounds,Article,16
7080,Klinika oczna,Review,16
7154,Laboratory investigation,Article,16
5422,International journal of intelligent engineering and systems,Article,16
1924,Bmc public health,Article,16
8635,Pharmaceuticals,Review,16
5418,International journal of innovative technology and exploring engineering,Article,16
3413,Diabetes research and clinical practice,Letter,16
4418,Ganka. ophthalmology,Article,16
8397,Ophthalmology retina,Editorial,16
3435,Diabetes therapy,Review,16
7093,Klinische wochenschrift,Article,16
1085,Angiology,Article,16
7673,Mmw-fortschritte der medizin,Short survey,16
3368,Diabetes and metabolism,Letter,16
1214,Annals of saudi medicine,Article,16
4341,Frontiers in medicine,Review,16
2066,British journal of pharmacology,Review,16
5759,Jama: the journal of the american medical association,Letter,16
5229,International immunopharmacology,Article,16
561,Acta clinica croatica,Article,16
2563,Clinical and experimental nephrology,Article,15
7166,Lancet,Letter,15
7087,Klinische monatsblatter fur augenheilkunde,Note,15
3430,Diabetes technology and therapeutics,Review,15
2758,Clinical science,Review,15
3536,Diabetology and metabolic syndrome,Review,15
6150,Journal of diabetes and metabolic disorders,Review,15
3302,Deutsche gesundheitswesen,Article,15
5161,Internal medicine journal,Article,15
6154,Journal of diabetes investigation,Note,15
6861,Journal of the formosan medical association,Article,15
10153,Srpski arhiv za celokupno lekarstvo,Article,15
